Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2001-12-21,5100,5190,5000,5030,3806.227539,41650000,3937.388753,3909.137939
2001-12-24,5050,5160,5010,5050,3821.360107,20430000,3879.374837,3915.19165
2001-12-25,5050,5050,5050,5050,3821.360107,0,3816.315918,3890.977295
2001-12-26,5130,5190,5080,5160,3904.597656,21745000,3849.105957,3872.816455
2001-12-27,5200,5420,5180,5400,4086.206787,40355000,3937.388183,3887.950439
2001-12-28,5600,5620,5510,5580,4222.415039,38480000,4071.073161,3971.187939
2001-12-31,5580,5580,5580,5580,4222.415039,0,4177.012288,4051.398926
2002-01-01,5580,5580,5580,5580,4222.415039,0,4222.415039,4131.609912
2002-01-02,5660,6160,5620,6160,4661.302246,57100000,4368.710775,4282.95083
2002-01-03,6160,6160,6160,6160,4661.302246,0,4515.00651,4397.969922
2002-01-04,6380,6410,6290,6380,4827.778809,50470000,4716.794434,4519.042676
2002-01-07,6260,6430,6170,6360,4812.643555,51455000,4767.241537,4637.088379
2002-01-08,6390,6390,6190,6230,4714.272461,38005000,4784.898275,4735.459863
2002-01-09,6210,6450,6190,6450,4880.746582,45120000,4802.554199,4779.348731
2002-01-10,6360,6420,6160,6160,4661.302246,54845000,4752.107096,4779.348731
2002-01-11,6240,6350,6040,6120,4631.033203,47680000,4724.360677,4739.999609
2002-01-14,6050,6600,6040,6600,4994.252441,48900000,4762.195963,4776.321387
2002-01-15,6430,6460,6160,6240,4721.838867,68875000,4782.374837,4777.834668
2002-01-16,6150,6250,6030,6030,4562.930664,60330000,4759.673991,4714.271484
2002-01-17,5900,6060,5860,6000,4540.22998,55605000,4608.33317,4690.057031
2002-01-18,6010,6040,5880,5920,4479.692871,44260000,4527.617838,4659.788965
2002-01-21,5800,5840,5720,5820,4404.022949,41265000,4474.6486,4541.743066
2002-01-22,5840,6050,5840,6000,4540.22998,32895000,4474.6486,4505.421289
2002-01-23,5800,6190,5780,6160,4661.302246,39900000,4535.185058,4525.095605
2002-01-24,6220,6370,6180,6200,4691.571777,38415000,4631.034668,4555.363965
2002-01-25,6330,6570,6260,6460,4888.313477,56875000,4747.0625,4637.088086
2002-01-28,6580,6580,6350,6370,4820.211914,33735000,4800.032389,4720.325879
2002-01-29,6370,6450,6290,6300,4767.241211,32140000,4825.255534,4765.728125
2002-01-30,6010,6180,6010,6060,4585.633301,39580000,4724.362142,4750.594336
2002-01-31,6060,6060,6060,6060,4585.633301,0,4646.169271,4729.406641
2002-02-01,6200,6320,6090,6180,4676.4375,35640000,4615.901367,4687.031445
2002-02-04,6200,6330,6180,6240,4721.838867,23805000,4661.303223,4667.356836
2002-02-05,6200,6490,6140,6460,4888.313477,48675000,4762.196615,4691.571289
2002-02-06,6400,6480,6360,6380,4827.778809,31845000,4812.643718,4740.000391
2002-02-07,6300,6460,6240,6300,4767.241211,36975000,4827.777832,4776.321973
2002-02-08,6320,6420,6220,6420,4858.046875,34105000,4817.688965,4812.643848
2002-02-11,6420,6420,6420,6420,4858.046875,0,4827.77832,4839.885449
2002-02-12,6420,6420,6420,6420,4858.046875,0,4858.046875,4833.832129
2002-02-13,6420,6420,6420,6420,4858.046875,0,4858.046875,4839.885742
2002-02-14,6740,7100,6630,7100,5372.60498,98365000,5029.566243,4960.958496
2002-02-15,6940,7000,6810,6830,5168.294922,42860000,5132.982259,5023.008105
2002-02-18,6820,6910,6780,6860,5190.996582,35695000,5243.965495,5089.598047
2002-02-19,6900,7040,6790,6850,5183.427734,36270000,5180.906413,5154.674219
2002-02-20,6700,6870,6700,6800,5145.593262,34980000,5173.339193,5212.183496
2002-02-21,6860,6890,6540,6760,5115.325195,51595000,5148.115397,5160.727539
2002-02-22,6550,6680,6530,6670,5047.222656,47120000,5102.713704,5136.513086
2002-02-25,6610,6730,6530,6640,5024.520508,33955000,5062.35612,5103.217871
2002-02-26,6820,6880,6660,6740,5100.191895,34055000,5057.311686,5086.570703
2002-02-27,6660,7000,6660,7000,5296.934082,45875000,5140.548828,5116.838867
2002-02-28,7000,7010,6860,6860,5190.996582,43075000,5196.040853,5131.973145
2002-03-01,6860,6860,6860,6860,5190.996582,0,5226.309082,5160.72793
2002-03-04,7010,7260,7000,7000,5296.934082,60950000,5226.309082,5215.210645
2002-03-05,7270,7280,7120,7220,5463.409668,48115000,5317.113444,5287.854199
2002-03-06,7220,7360,7150,7260,5493.677246,30955000,5418.006999,5327.202832
2002-03-07,7370,7370,7110,7120,5387.740234,24780000,5448.275716,5366.551562
2002-03-08,7100,7150,6910,6980,5281.800293,36710000,5387.739258,5384.712305
2002-03-11,7000,7040,6870,6970,5274.23291,36135000,5314.591146,5380.17207
2002-03-12,6880,7070,6860,7060,5342.337891,39365000,5299.457031,5355.957715
2002-03-13,6910,7050,6910,6960,5266.667969,33440000,5294.412923,5310.555859
2002-03-14,6890,6900,6580,6880,5206.128906,105785000,5271.711589,5274.233594
2002-03-15,6680,6730,6580,6600,4994.252441,71515000,5155.683105,5216.724023
2002-03-18,6700,6720,6580,6640,5024.520508,51835000,5074.967285,5166.781543
2002-03-19,6660,6980,6660,6980,5281.800293,63005000,5100.191081,5154.674023
2002-03-20,7020,7120,6930,6980,5281.800293,43105000,5196.040365,5157.700488
2002-03-21,6800,6910,6800,6830,5168.294922,33605000,5243.965169,5150.133691
2002-03-22,6900,7140,6790,7010,5304.502441,48595000,5251.532552,5212.183691
2002-03-25,7060,7060,6800,6800,5145.593262,54505000,5206.130208,5236.398242
2002-03-26,6770,6980,6730,6980,5281.800293,42195000,5243.965332,5236.398242
2002-03-27,7000,7310,7000,7270,5501.244629,61410000,5309.546061,5280.287109
2002-03-28,7250,7400,7150,7150,5410.439941,39260000,5397.828288,5328.716113
2002-03-29,7300,7420,7260,7360,5569.349121,36935000,5493.677897,5381.685449
2002-04-01,7500,7690,7410,7480,5660.152832,57465000,5546.647298,5484.597363
2002-04-02,7560,7970,7400,7970,6030.938965,78395000,5753.480306,5634.425098
2002-04-03,7950,8100,7860,8080,6114.177246,60430000,5935.089681,5757.011621
2002-04-04,7980,7980,7730,7780,5887.164063,70795000,6010.760091,5852.356445
2002-04-05,7780,7780,7780,7780,5887.164063,0,5962.835124,5915.919434
2002-04-08,7760,7760,7380,7380,5584.482422,77600000,5786.270183,5900.785352
2002-04-09,7400,7470,7320,7380,5584.482422,52740000,5685.376302,5811.494043
2002-04-10,7380,7390,7110,7120,5387.740234,65180000,5518.901693,5666.206641
2002-04-11,7150,7300,7120,7190,5440.708496,71690000,5470.977051,5576.915527
2002-04-12,7190,7430,7110,7380,5584.482422,55420000,5470.977051,5516.379199
2002-04-15,7440,7760,7440,7700,5826.629395,42665000,5617.273438,5564.808594
2002-04-16,7700,7820,7630,7780,5887.164063,42525000,5766.09196,5625.344922
2002-04-17,8010,8220,7980,8120,6144.445313,77025000,5952.746257,5776.685938
2002-04-18,8000,8170,7950,8130,6152.01123,48785000,6061.206869,5918.946485
2002-04-19,8130,8270,7920,7920,5993.103027,61985000,6096.519857,6000.670606
2002-04-22,8060,8340,8040,8200,6204.981445,61720000,6116.698567,6076.341016
2002-04-23,8200,8560,8110,8540,6462.26123,59890000,6220.115234,6191.360449
2002-04-24,8460,8640,8360,8640,6537.931641,39980000,6401.724772,6270.057715
2002-04-25,8430,8520,8250,8260,6250.381836,51010000,6416.858236,6289.731836
2002-04-26,8140,8230,7990,8000,6053.63916,56155000,6280.650879,6301.839062
2002-04-29,7800,7930,7610,7620,5766.09082,53330000,6023.370605,6214.060937
2002-04-30,7660,7770,7560,7640,5781.226074,44785000,5866.985351,6077.853906
2002-05-01,7640,7640,7640,7640,5781.226074,0,5776.180989,5926.512793
